번호,작업자,금융용어,유의어,정의,비유,왜 중요?,오해 교정,예시,단어 난이도,비고
17,조진용,가계대출,,"개인이 주택 구입, 생활자금, 학자금 등을 위해 금융기관레서 빌리는 대출",가정의 빚줄 - 당장은 숨통을 트이게 하지만 너무 많으면 옭아매는 밧줄,"소비, 투자, 경기 안정성에 직접적 영향을 주는 거시경제 핵심 변수","단순한 개인문제로 볼 수 없고, 국가 전체 금융 안정성과도 연결됨",가계대출이 늘면서 가계의 금융 부담이 커지고 있다,,
18,조진용,총부채원리금상환비율,DSR,"차주의 상환능력 대비 원리금상환부담을 나타내는 지표로서, 차주가 보유한 모든 대출의 연간 원리금상환액을 연간소득으로 나누어 산출",가계의 체중계 - 빚 부담이 소득에 비해 얼마나 무거운지 재는 도구,"대출자의 상환능력을 평가하는 핵심 지표로, 과잉 대출 방지에 필수",단순 대출 심사 기준이 아닌 금융 시스템 전체 건전성 관리 기준,“DSR이 70%를 넘으면 사실상 생계비를 제외한 모든 소득이 빚 상환에 쓰인다.,,
19,조진용,연체율,,일정 기간 내 상환기일이 지난 대출금의 비율,빚의 체온계 - 연체율 상승은 금융 시스템이 열이 나는 신호,"금융기관의 건전성, 경기 흐름을 판단하는 핵심 지표",일시적 연체는 전체 부실로 이어지지 않음 - 지속적 상승이 위험한 것,비은행권 연체율이 2%를 넘어서며 금융안정에 적신호가 켜졌다,,
20,조진용,금융안전망,,금융위기 시 췽약계층이나 금융기관을 보호하기 위한 정책적 장치,경제의 에어백 — 사고가 나도 큰 충격을 완화,"가계부채, 경기 침체 등으로 인한 시스템 리스크 완화","단순히 지원금이 아니라 제도적 구조(채무조정, 신용보호 포함)",정부는 금융안전망 강화를 위해 채무조정 제도를 확대하고 있다.,,
21,조진용,취약차주,,다중채무자이면서 저소득 또는 저신용 상태인 대출자,빚의 사각지대에 있는 사람들 - 쓰러지기 직전의 도미노 조각,금융위기 시 가장 먼저 피해를 입는 계층으로 금융안전망 정책의 핵심 대상,신용점수가 낮은 사람만이 아니라 소득·채무구조 복합적 문제,취약차주의 3분의 1이 감당 불가능한 대출로 생계에 어려움을 겪고 있다,,
22,조재용,배당,,주식회사가 이익금의 일부를 현금이나 주식으로 할당하여 자금을 낸 사람이나 주주에게 나누어 주는 일.,과일나무의 열배 - 회사가 잘 자라면 주주가 함께 따먹는 결실,회사가 정말 돈을 잘 벌고 있는지 보여주는 증거,"회사 돈을 줄이는 게 아니라, 이미 벌어들인 이익을 '공유'하는 것",삼성전자가 1주당 500원의 현금배당을 실시했다.,,
23,조재용,배당소득,배당금,주식을 보유하는 동안 해당 기업이 영업활동을 통해 벌어들인 이익 중에서 일부를 현금이나 주식 등으로 받는 것,기다리면 떨어지는 과일- 주식으로 보유하고 있으면 주기적으로 떨어지는 용돈,주가가 오르지 않아도 투자자가 안정적으로 수익을 얻을 수 있는 '현금 흐름' 역할,배당 소득이 시세차익보다 덜 중요하다는 것은 잘못된 생각 - 꾸준한 배당이 장기 수익률의 핵심,삼섬전자 100주 보유시 주당 500원 배당이면 5만원의 배당 소득 발생한다.,,
24,조재용,배당소득세,,주주가 법인으로부터 이익을 분배받을 때 발생하는 소득에 대해 부과하는 세금,열매를 따기 전에 정보가 한 입 베어먹는 것,"세금 부담이 질세 수익률을 결정하므로, 투자 수익 계산 시 반드시 고려해야 함","배당 소득세율은 항상 일정하다고 착각하지만, 소득 수준에 따라 종합과세나 분리과세로 달라짐",배당금 200만원 수령 시 15.4% 세금 공제면 실제 수령액은 약 169만원이다.,,
25,조재용,감액배당,,자본준비금 등 납입자본을 감액해 주주에게 현금을 배당하는 방식,나무가 스스로 가지를 잘라 열매를 만드는 것,기업이 재무 구조를 조정하거나 자본 효율을 개선하기 위한 전략으로 활용됨,감액배당은 '좋은 뉴스'만은 아님-회사의 성장 여력을 줄여 단기적인 유도성 확보일 가능성이 있음,"회사가 자본금 100억 중 10억을 줄인 후, 이를 현금으로 주주들에게 배당한다.",,
26,조재용,이익잉여금,,"기업이 순이익을 벌어들인 후, 배당 등으로 주주에게 분배하지 않고 회사 내에 유보한 금액",회사의 저금통-지금 당장 쓰지 않고 미래 투자를 위해 모아둔 비상금,"이익잉여금이 많을수록 연구개발, 신사업 투자, 향후 배당 확대 등 장기적 성장 여력이 커짐",이익잉여금이 전부 배당으로 전환되지는 않음,"LG에너지가 1조원 순이익 중 6천억은 투자, 4천억은 이익잉여금으로 남겨 향후 사업 확장에 사용한다.",,
27,조재용,분리과세,,종합소득과세표준에 합산하지 않고 별도의 세율에 의한 원천징수로써 납세의무가 종결되는 소득,"각자 계산대-다른 사람들과 합쳐서 계산하지 않고, 자기 것만 따로 계산하고 끝내는 방식","세금이 한 번에 정해지고 끝나기 때문에, 종합소득세 신고 부담이 줄고 소득이 일정한 사람에게 유리함",분리과세는 무조건 세금이 적다-경우에 따라서는 종합 과세보다 불리할 수 있음,"예금이자나 배당소득이 2천만원 이하일 때 15.4% 세율로 원천징수되고, 종합소득에 합산하지 않아 별도로 신고할 필요가 없다.",,
28,조재용,세율,,세금을 부과할 때 적용되는 비율,세금의 ‘비례자’ -소득이나 자산에 따라 세금이 얼마나 붙는지를 결정,세금 부담 수준과 조세 형평성을 결정하는 핵심 기준,세율이 높다고 세금이 불공평한 것은 아님-소득 수준에 맞게 설계됨,"예를 들어 소득(소득세)에 대한 세율은 15%, 부가가치(부가가치세)에 대한 세율은 10%이다.",,
29,조재용,과세,,"국가가 법에 따라 국민의 소득, 재산, 거래 등에 세금을 부과하는 행위",‘국가 운영비를 모으는 절차’,정부가 공공서비스를 제공하기 위한 재정 확보의 기초,과세는 벌금이 아니라 공공 이익을 위한 정당한 부담,"예를 들어 급여를 통한 소득 시 '소득세'라는 과세를 부여하고, 부동산을 통한 거래 시 '취득세'라는 과세를 부여한다.",,
30,조재용,직접세,,납세의무자가 담세자로 직접 세금을 내는 조세,내 이름으로 내는 세금,소득 및 자산 수준에 따라 공정하게 과세할 수 있어 조세 형평성 확보의 핵심,"직접세는 부자만 내지 않는다 - 모든 소득자에게 적용되며, 금액에 따라 차등이 될 뿐","직접세에는 소득세, 법인세, 재산세 등이 있다.",초급,
31,조재용,소득세,,개인이 얻은 소득에 대해 부과되는 세금,‘벌이에 대한 국가의 몫’,조세제도 중 가장 기본적이고 소득 재분배 기능을 수행,모든 소득이 과세 대상은 아님 - 비과세 항목도 존재,근로·사업·이자소득 등 다양한 소득에 대해 소득세가 부여된다.,,
32,조재용,근로소득세,,근로자가 받는 급여·보너스 등 근로소득에 부과되는 세금,‘월급에서 자동으로 떼이는 세금’,국민이 체감하는 대표 조세로 재정 안정성에 기여,전액 회사가 내주는 게 아니라 급여에서 원천징수됨,월급 400만원 중 근로소득세란 항목으로 30만원이 원천징수된다.,,
33,조재용,이자소득세,,"예금, 적금, 채권 등에서 발생한 이자소득에 부과되는 세금",‘이자 수익의 세금 통행료’,금융소득 과세를 통해 자본소득의 공정한 부담 실현,이자소득세는 항상 15.4% - 일정 금액 초과 시 종합과세 가능,"예금을 통해 이자가 100만원이 발생했을 때 이 중 이자소득세가 15.4%일 경우, 84만6천원만 이자소득으로 수령된다.",,
34,조재용,양도소득세,,부동산·주식 등 자산을 팔아 이익이 생겼을 때 부과되는 세금,‘팔아서 생긴 차익의 일부를 내는 세금’,자산시장 안정과 투기 억제 역할,모든 거래에 부과되지 않음 - 1주택자 비과세 가능,"부동산을 통해 양도차익이 5천만원이 발생했을 때 양도스득세가 15%일 경우, 4,250만원이 수령된다.",,
35,조재용,퇴직소득세,,퇴직금 등 퇴직으로 인한 소득에 부과되는 세금,‘퇴직 보너스의 일부를 사회로 돌려주는 몫’,장기근속을 고려해 세율이 낮게 적용됨,퇴직소득세는 면제가 아닌 일부 공제,"20년 근속 퇴직금이 1억원일 때 퇴직소득세가 5%일 경우, 9,500만원이 수령된다. ",,
36,조재용,법인세,,기업(법인)이 벌어들인 이익에 부과되는 세금,‘회사 버전의 소득세’,국가 재정의 핵심 세원으로 기업 투명성 확보,법인세 인하가 항상 좋은 것은 아님 - 불평등 심화 가능,"회사의 순이익이 10억일 때, 법인세가 22%일 경우, 8.8억이 수령된다.",,
37,조재용,재산세,,개인이 보유한 부동산 등 자산에 부과되는 세금,‘집이나 땅을 가진 대가로 내는 유지비’,지방자치단체 재원으로 사용됨,재산세 인상이 집값 하락을 보장하지 않음,아파트 공시가 5억원일 때 재산세가 매년 약 100만원이 측정된다.,,
38,조재용,종합부동산세,종부세,일정 기준 이상의 부동산 보유자에게 부과되는 세금,‘고가 부동산 보유자의 추가세’,부동산 자산 불평등 완화를 위한 보유세,모든 주택 보유자가 대상 아님 - 기준 초과자만 과세,만약 주택의 공시가 15억원 이상일 경우 종합부동산세가 부과된다.,,
39,조재용,취득세,,부동산·자동차 등을 새로 취득할 때 부과되는 세금,‘새 물건 살 때 내는 등록비’,지방세 수입의 중요한 부분,매매뿐 아니라 상속·증여로 인한 취득도 과세,아파트를 5억원으로 매입 시 취득세가 1~3%가 발생한다. ,,
40,조재용,등록세,,부동산·법인·자동차 등의 소유권을 등록할 때 부과되는 세금,‘내 이름으로 바꾸는 수수료’,소유권 공시와 거래 투명성 확보,등록세는 취득세와 별개이며 등록 행위에 부과,부동산 등기 시 등록세 약 0.8%가 발생한다.,,
41,조재용,상속세,,사망한 사람의 재산을 상속받을 때 내는 세금,‘물려받은 재산의 사회 환원금’,세대 간 부의 불평등 완화와 조세 형평성 확보,상속세는 부자만 내는 세금이 아님 - 기준 초과분 과세,"상속 재산이 10억원이고 과세표준 5억원/세율 30%일 때, 5억원을 상회했으므로 총 3억원의 세금이 발생한다.",,
42,조재용,증여세,,타인에게 재산을 무상으로 증여받을 때 부과되는 세금,‘공짜로 받은 재산의 감사세’,불법 증여나 편법 상속 방지,증여세는 증여받은 사람이 부담,"부모가 자녀에게 1억원을 증여 시 증여세가 약 1,400만원 발생한다.",,
43,조재용,종합소득세,,1년 동안 얻은 모든 소득(근로·이자·배당·사업 등)을 합산해 부과하는 세금,‘1년치 수입 전체에 대한 종합결산세’,소득 간 형평성 유지와 공평 과세 실현,한 가지 소득만 있으면 별도 과세되지만 여러 소득은 합산 과세,"근로소득 4천만원,배당소득 1천만원 등의 다양한 소득들을 종합한 후, 종합소득세를 측정한다.",,
44,조재용,간접세,,납부하는 주체와 실제 부담하는 주체가 다른 조세,대신 내주는 밥값,"세금이 가격에 포함되어 소비자에게 전가되므로, 서민에게 상대적으로 부담이 큼","세금은 사업자가 내는 것처럼 보이지만, 결국 소비자가 부담함","간접세에는 부가가치세, 주류세, 담배세 등이 있으며, 이 물건값에 이미 세금이 포함되어 있다.",,
45,조재용,누진세,,과세표준이 증가함에 따라 직면하는 평균세율이 증가하는 조세,높이 오를수록 경사가 가파른 산길,소득 재분배 기능을 통해 사회적 불평등을 완화함,부자 벌주는 세금이 아니라 능력에 따라 공정하게 부담하게 하는 제도,"종합소득세, 상속세 등의 경우 과세 표준이 높아질 수록 세율이 6%, 15%, 24% 등으로 상승한다.",초급,
46,조재용,부가가치세,부가세,상품 또는 서비스의 생산 및 유통 과정에서 발생하는 부가가치에 대해 부과하는 세금,물건이 이동할 때마다 붙는 통행료,"국세 수입의 큰 비중을 차지하며, 거래 투명성 확보와 이중과세 방지 기능을 가짐","부가세는 기업이 내는 돈처럼 보이지만, 결국 실제 부담자는 소비자","1만원짜리 제품의 부가세가 10%이면 소비자는 1만1천원을 지불하며, 사업자는 이를 신고 및 납부한다.",초급,
47,조재용,개별소비세,,"특정 물품이나 서비스에 부과되는 소비세로, 사치성·환경오염 유발 품목에 부과되는 세금",‘특별한 물건에 붙는 사치세’ - 비필수품일수록 세금이 더 붙음,"국민 건강, 환경보호, 과소비 억제 등의 정책 목적을 실현",모든 소비재에 붙는 세금은 아님 - 자동차·주류·담배·레저용품 등 일부 품목만 해당,자동차 구입 시 개별소비세가 5% 부과된다.,,
48,조재용,관세,,외국에서 수입한 상품에 부과되는 세금,‘국경의 통행료’ - 외국 상품이 국내로 들어올 때 내는 세금,국내 산업 보호와 국제무역 균형 유지에 핵심 역할,관세는 수입업자만 내는 게 아님 - 실제 부담은 소비자 가격에 반영,해외에서 들여온 와인에 15% 관세 부과되면 그만큼 소비자에게 주어지는 판매 가격이 상승한다.,,
49,조재용,인지세,,계약서·영수증 등 법적 문서 작성 시 부과되는 세금,‘공식 문서의 도장값’,문서 거래의 신뢰성과 법적 효력을 보장하는 역할,단순 영수증에는 과세되지 않음 - 일정 금액 이상 계약서 등에만 해당,부동산 매매계약서 작성 시 인지세가 7만 원이 부과된다.,,
50,조재용,교통세,,"휘발유, 경유 등 교통 관련 유류에 부과되는 세금",‘도로 유지·교통개선용 주유세’,"도로 건설, 교통 인프라 확충에 사용되어 공공복리 증진에 기여",자동차세와 다름 - 유류 소비량에 따라 부과되는 세금,휘발유 리터당 교통세가 약 529원이 포함되어 있다.,,
51,조재용,주세,,술(주류)의 제조·수입·판매 과정에서 부과되는 세금,‘술 한잔에 붙는 국가 몫’,"과음 억제, 건강 보호, 음주 문화 개선을 위한 정책 수단",주세는 제조업자가 내지만 실제 부담은 소비자가 짐,소주 한 병 가격 중 약 20%가 주세로 포함되어 있다.,,
52,조재용,담배세,,담배에 부과되는 특별 소비세,‘건강의 대가세’ - 흡연으로 인한 사회적 비용을 보전,흡연 억제 정책과 보건 재정 확보에 기여,담배세 인상은 단순한 세수 확보용이 아니라 공공 건강 목적,"담배 한 갑 5,000원 중 약 3,000원이 담배세로 되어 있다.",,
53,조재용,과세표준,,세금을 부과할 때 기준이 되는 금액이나 수량,‘세금 계산의 밑그림’ - 세율이 여기에 곱해져 세액이 결정됨,"세액 산정의 출발점으로, 조세 공정성과 투명성 확보의 핵심",세율이 높아도 과세표준이 낮으면 실제 세금은 적을 수 있음,"과세표준이 5천만 원에 세율 15%라면, 해당 금액인 5천만원 이상일 때, 15%만큼을 세금으로 내야 한다.",,
54,조재용,공제,,세금 계산 시 일정 금액을 소득이나 세금에서 빼주는 제도,‘세금 할인쿠폰’,저소득층 부담 완화와 조세 형평성 유지에 기여,"모든 납세자에게 동일하지 않음 - 조건(자녀, 의료비, 기부금 등)에 따라 다름",연말정산 시 의료비로 100만 원은 공제된다.,,
55,조재용,세액공제,,계산된 세금에서 일정 금액을 직접 차감하는 제도,‘세금 결제 시 즉시 할인’,실제 납부 세액을 줄여 실질적 절세 효과 제공,공제액이 크다고 모두 환급되는 건 아님 - 세금 범위 내에서만 차감,자녀세액공제로 15만 원이 측정된다면 납부세액 시 15만원이 감소된다.,,
56,조재용,원천징수,,"급여나 이자 등 소득을 지급할 때, 지급자가 미리 세금을 징수해 대신 납부하는 제도",‘세금 선납 시스템’ - 세금을 미리 떼서 국가에 전달,납세 편의성과 세금 누락 방지를 위한 대표적인 제도,회사가 세금을 대신 내주는 게 아니라 급여에서 미리 뗀 금액을 납부,월급 400만 원 중 30만 원이 원천징수 된 후 국세청에 납부된다.,,
57,조재용,예금,,은행에 돈을 맡기고 일정 기간 후 원금과 이자를 돌려받는 것,돈을 맡겨두는 ‘안전한 저금통’,자산을 안전하게 보관하며 이자 수익을 얻음,예금은 수익이 낮지만 원금이 보장됨,시중 은행의 정기예금을 예금자보호법에 기반하여 1인당 5천만원 까지 보호한다.,,
58,조재용,적금,,일정 기간 동안 매달 일정 금액을 은행에 저축하고 만기 시 이자를 함께 받는 상품,매달 돈을 넣어 키우는 ‘저축 식물’,꾸준한 저축 습관 형성 및 목표 자금 마련,이자가 적다고 무시하기 쉽지만 목표 달성에 유용,1년간 매월 10만원 납입하면 만기 시 원금 120만원 + 이자 수익을 수령한다.,,
59,조재용,대출,,금융기관에서 일정 금액을 빌리고 이자를 더해 갚는 행위,‘미리 쓰는 미래의 돈’,큰 자금이 필요할 때 필수적 수단,대출 자체가 나쁜 게 아니라 과도한 대출이 위험,"대출에는 주택담보대출, 신용 대출, 학자금 대출 등이 있다.",,
60,조재용,이자,,돈을 빌리거나 맡긴 대가로 지급되는 금전적 보상,돈의 ‘임대료’,금융거래의 기본 구조를 형성,"“이자가 높으면 무조건 좋다”는 오해 - 예금자에겐 이익, 대출자에겐 부담",예금 이자율 3%면 100만원당 3만원의 이자 수익을 얻는다.,,
61,조재용,원금,,예금·대출 등에서 이자 계산의 기준이 되는 처음의 돈,나무의 줄기 - 이자라는 열매는 여기서 자람,원금이 보전되어야 안정적 자산 관리 가능,모든 상품이 원금보장 아님,"적금의 월 납입액, 대출에서 갚아야 할 원래 빌린 금액을 의미한다.",,
62,조재용,신용등급,,개인의 돈 갚는 능력을 평가한 수치,‘금융 성적표’,대출 한도와 금리를 결정,낮은 등급도 꾸준한 관리로 회복 가능,"신용점수 900점 이상 우량, 600점대 보통 이런 형태이다.",,
63,조재용,담보,,대출금을 갚지 못할 경우를 대비해 제공하는 자산,돈을 빌릴 때 맡기는 ‘보증품’,담보로 금리를 낮출 수 있음,담보가 있어도 상환 능력 중요,"관련 용어는 아파트 담보대출, 자동차 담보대출이 있다.",,
64,조재용,연체,,기한 내에 돈을 갚지 못한 상태,약속 시간에 늦은 돈,신용도 하락과 추가이자 발생,단기 연체는 복구 가능하지만 반복은 위험,카드값이나 대출 이자 연체 시 신용점수가 하락하게 된다.,,
65,조재용,상환,,빌린 돈(원금+이자)을 갚는 행위,빌린 물건을 돌려주는 일,금융 신뢰 유지 및 신용도 향상,일부만 갚아도 괜찮다는 오해는 잘못,"관련 용어는 원리금 균등상환, 만기일시상환 방식이 있다.",,
66,조재용,수수료,,금융서비스 이용 대가로 내는 비용,문을 열어주는 ‘입장료’,거래비용 절감이 금융 효율성에 기여,무료 서비스에도 숨은 수수료 존재,"송금 수수료, 카드 연회비, 주식 거래 수수료 등 다양하게 존재한다.",,
67,조재용,주식,,기업의 소유권 일부를 나타내는 증서,회사를 나눈 ‘조각 지분’,기업 성장의 수익을 공유할 수 있음,단기 투기보단 장기 가치투자 수단,"삼성전자 주식을 10주 보유하면, 회사 이익에 따라 배당금 수령이 가능하다.",,
68,조재용,증권사,,주식·채권 거래를 중개하는 금융기관,‘투자시장 중개상’,투자자와 시장을 연결,투자 손실은 본인 책임,"유명한 증권사에는 키움증권, 미래에셋, NH투자증권 등이 있다.",,
69,조재용,시가총액,,주가×총 주식 수로 계산한 회사 가치,회사의 ‘시장 몸무게’,기업 규모와 영향력 판단 지표,시총이 높다고 무조건 우량기업은 아님,애플의 시총총액은 약 3조 달러이다.,,
70,조재용,코스피,,대형 우량주 중심의 대표 주식시장,한국 경제의 ‘체온계’,국내 경기와 투자심리 반영,모든 기업이 성장 중인 건 아님,"코스피에는 삼성전자, 현대차, LG 화학 등이 포함된다.",,
71,조재용,코스닥,,중소·벤처기업 중심 주식시장,‘스타트업 무대’,혁신기업 성장의 자금 통로,위험하지만 성장성 높음,"코스닥에는 대표적으로 셀트리온헬스케어, 에코프로비엠 등이 포함된다.",,
72,조재용,공모주,,기업이 처음으로 일반 투자자에게 공개 판매하는 주식,‘새로 문 여는 가게의 첫 주주 모집’,기업 자금조달과 초기 투자 기회,항상 수익이 보장되진 않음,"공모주에는 카카오뱅크, 크래프톤, IPO 등이 있었다.",,
73,조재용,주가,,주식이 거래되는 시장 가격,회사의 ‘인기 점수판’,기업 가치와 투자심리 반영,주가 상승이 항상 좋은 건 아님,주가가 10만에서 12만으로 상승 시 20%의 수익이 난다.,,
74,조재용,투자,,미래의 수익을 기대하며 자본을 투입,씨앗을 심어 열매를 기다리는 일,자본의 효율적 배분과 경제 성장 원동력,도박과 다름 - 분석 기반 활동,투자의 종류에는 주식·부동산·펀드 등이 있다.,,
75,조재용,주주,,기업의 주식을 소유한 사람,‘회사 공동 주인’,기업 의사결정에 참여 가능,단순 이익 추구가 아닌 성장 동반자,주주의 종류에는 개인·기관·외국인 등이 있다.,,
76,조재용,매출,,상품·서비스를 팔아 얻은 총수입,기업의 ‘매출액 체온’,기업 규모와 활동성을 판단,매출이익과 혼동하면 안 됨,연 매출 1조원으 기업이지만 사용되는 원가와 인건비가 높으면 실제 이익은 적을 수 있다.,,
77,조재용,영업이익,,매출에서 영업비용을 뺀 이익,기업의 ‘실제 장사 실력’,본업 수익성 판단의 핵심 지표,순이익과 혼동 주의,"매출이 100억 원이고 영업 비용이 80억 원이면, 영업이익이 20억 원이 된다. ",,
78,조재용,순이익,,모든 비용과 세금을 뺀 실제 남은 이익,기업의 ‘진짜 손익’,주주 배당 및 투자 판단 근거,현금흐름과 동일하지 않음,"영업이익이 20억 원이고 세금이 5억이면, 순이익이 15억 원이 된다.",,
79,조재용,자산,,"기업이 보유한 현금, 건물, 기계 등 경제적 가치",‘회사 몸의 근육’,재무상태와 성장 여력 판단,자산이 많아도 부채가 많으면 위험,"자산의 종류에는 토지, 설비, 현금 등이 있다.",,
80,조재용,부채,,갚아야 할 채무나 의무,‘회사 몸의 짐’,재무 안정성과 부도 위험 판단,부채 자체는 나쁜 것이 아님 - 성장에 활용,"부채의 종류에는 은행 대출금, 미지급금 등이 있다.",,
81,조재용,자본,,자산에서 부채를 뺀 순수한 자기 돈,기업의 ‘체력’,재무 건전성의 핵심 지표,자본이 많다고 무조건 효율적은 아님,"회사의 자산이 100억이고, 부채가 60억이 경우, 자본은 40억이 된다.",,
82,조재용,재무제표,,기업의 재무상태와 성과를 보여주는 보고서,‘기업의 건강검진표’,투자와 경영 판단의 기본 자료,숫자만 보는 것이 아니라 해석이 중요,"재무제표에는 손익계산서, 대차대조표 등이 포함되어 있다.",,
